DIA,COLOR,,,,2023
6/21/2023,AZUL,MIER,,,
6/22/2023,AZUL,JUE,,,
6/23/2023,AZUL,VIER,,,
6/24/2023,,SAB,,,
6/25/2023,,DOM,,,
6/26/2023,VERDE,LUN,,,
6/27/2023,VERDE,MART,,,
6/28/2023,VERDE,MIER,,,
6/29/2023,VERDE,JUE,,,
6/30/2023,ROJO,VIER,,,
7/1/2023,,SAB,,,
7/2/2023,,DOM,,,
7/3/2023,ROJO,LUN,,,
7/4/2023,ROJO,MART,,,
7/5/2023,ROJO,MIER,,,
7/6/2023,AMARILLO,JUE,,,
7/7/2023,AMARILLO,VIER,,,
7/8/2023,,SAB,,,
7/9/2023,,DOM,,,
7/10/2023,AMARILLO,LUN,,,
7/11/2023,AMARILLO,MART,,,
7/12/2023,MARFIL,MIER,,,
7/13/2023,MARFIL,JUE,,,
7/14/2023,MARFIL,VIER,,,
7/15/2023,,SAB,,,
7/16/2023,,DOM,,,
7/17/2023,MARFIL,LUN,,,
7/18/2023,NARANJA,MART,,,
7/19/2023,NARANJA,MIER,,,
7/20/2023,NARANJA,JUE,,,
7/21/2023,NARANJA,VIER,,,
7/22/2023,,SAB,,,
7/23/2023,,DOM,,,
7/24/2023,MORADO,LUN,,,
7/25/2023,MORADO,MART,,,
7/26/2023,MORADO,MIER,,,
7/27/2023,MORADO,JUE,,,
7/28/2023,NEGRO,VIER,,,
7/29/2023,,SAB,,,
7/30/2023,,DOM,,,
7/31/2023,NEGRO,LUN,,,
8/1/2023,NEGRO,MART,,,
8/2/2023,NEGRO,MIER,,,
8/3/2023,ORO,JUE,,,
8/4/2023,ORO,VIER,,,
8/5/2023,,SAB,,,
8/6/2023,,DOM,,,
8/7/2023,ORO,LUN,,,
8/8/2023,ORO,MART,,,
8/9/2023,CAFE,MIER,,,
8/10/2023,CAFE,JUE,,,
8/11/2023,CAFE,VIER,,,
8/12/2023,,SAB,,,
8/13/2023,,DOM,,,
8/14/2023,CAFE,LUN,,,
8/15/2023,ROSA,MART,,,
8/16/2023,ROSA,MIER,,,
8/17/2023,ROSA,JUE,,,
8/18/2023,ROSA,VIER,,,
8/19/2023,,SAB,,,
8/20/2023,,DOM,,,
8/21/2023,GRIS,LUN,,,
8/22/2023,GRIS,MART,,,
8/23/2023,GRIS,MIER,,,
8/24/2023,GRIS,JUE,,,
8/25/2023,AZUL CLARO,VIER,,,
8/26/2023,,SAB,,,
8/27/2023,,DOM,,,
8/28/2023,AZUL CLARO,LUN,,,
8/29/2023,AZUL CLARO,MART,,,
8/30/2023,AZUL CLARO,MIER,,,
8/31/2023,MELON,JUE,,,
9/1/2023,MELON,VIER,,,
9/2/2023,,SAB,,,
9/3/2023,,DOM,,,
9/4/2023,MELON,LUN,,,
9/5/2023,MELON,MART,,,
9/6/2023,VERDE CLARO,MIER,,,
9/7/2023,VERDE CLARO,JUE,,,
9/8/2023,VERDE CLARO,VIER,,,
9/9/2023,,SAB,,,
9/10/2023,,DOM,,,
9/11/2023,VERDE CLARO,LUN,,,
9/12/2023,BLANCO,MART,,,
9/13/2023,BLANCO,MIER,,,
9/14/2023,BLANCO,JUE,,,
9/15/2023,,VIER,Festivo,,
9/16/2023,,SAB,,,
9/17/2023,,DOM,,,
9/18/2023,BLANCO,LUN,,,
9/19/2023,AZUL,MART,,,
9/20/2023,AZUL,MIER,,,
9/21/2023,AZUL,JUE,,,
9/22/2023,AZUL,VIER,,,
9/23/2023,,SAB,,,
9/24/2023,,DOM,,,
9/25/2023,VERDE,LUN,,,
9/26/2023,VERDE,MART,,,
9/27/2023,VERDE,MIER,,,
9/28/2023,VERDE,JUE,,,
9/29/2023,ROJO,VIER,,,
9/30/2023,,SAB,,,
10/1/2023,,DOM,,,
10/2/2023,ROJO,LUN,,,
10/3/2023,ROJO,MART,,,
10/4/2023,ROJO,MIER,,,
10/5/2023,AMARILLO,JUE,,,
10/6/2023,AMARILLO,VIER,,,
10/7/2023,,SAB,,,
10/8/2023,,DOM,,,
10/9/2023,AMARILLO,LUN,,,
10/10/2023,AMARILLO,MART,,,
10/11/2023,MARFIL,MIER,,,
10/12/2023,MARFIL,JUE,,,
10/13/2023,MARFIL,VIER,,,
10/14/2023,,SAB,,,
10/15/2023,,DOM,,,
10/16/2023,MARFIL,LUN,,,
10/17/2023,NARANJA,MART,,,
10/18/2023,NARANJA,MIER,,,
10/19/2023,NARANJA,JUE,,,
10/20/2023,NARANJA,VIER,,,
10/21/2023,,SAB,,,
10/22/2023,,DOM,,,
10/23/2023,MORADO,LUN,,,
10/24/2023,MORADO,MART,,,
10/25/2023,MORADO,MIER,,,
10/26/2023,MORADO,JUE,,,
10/27/2023,NEGRO,VIER,,,
